name,country,population,aliases
Francisco Morato,BR,165139,
Formosa,BR,115901,福莫薩
Florianópolis,BR,508826,弗洛里亚诺波利斯
Ferraz de Vasconcelos,BR,179198,
Feira de Santana,BR,619609,費拉迪聖安娜
Eunápolis,BR,113710,
Embu das Artes,BR,250691,
Duque de Caxias,BR,818329,卡希亞斯公爵城
Dourados,BR,162202,多拉杜斯
Divinópolis,BR,231091,迪维诺波利斯
Diadema,BR,393237,
Curitiba,BR,1948626,Kùrìtíbà|古里提巴|庫里奇巴
Cuiabá,BR,618124,Cuyabá|库亚巴
Cubatão,BR,112476,库巴唐
Criciúma,BR,161954,Creciúna|Cresciúma|克里西烏馬
Coronel Fabriciano,BR,104736,法布里西亚诺上校城
Contagem,BR,627123,孔塔任
Conselheiro Lafaiete,BR,111596,拉法耶蒂顾问城
Colatina,BR,101190,
Chapecó,BR,160157,Xapecó|沙佩科
Ceilândia,BR,287023,
Caxias do Sul,BR,381270,南卡希亞斯
Catanduva,BR,115791,
Catalão,BR,114427,
Cascavel,BR,257172,Tłʼiish áníní|卡斯卡韋爾
Cariacica,BR,353491,
Canoas,BR,328291,卡諾阿斯
Campo Largo,BR,136327,坎普拉古
Campo Grande,BR,906092,格蘭德營
Campinas,BR,1031554,坎皮纳斯
Cambé,BR,107208,
Camaçari,BR,188758,卡馬薩里
Caieiras,BR,102775,
Cachoeiro de Itapemirim,BR,187019,
Cachoeirinha,BR,136258,
Cabo Frio,BR,238166,Cabo Frío|卡波弗里奧
Brusque,BR,141385,布吕斯克
Brasília,BR,2207718,Brasilía|Brazília|Brazíliaváros|巴西利亚|巴西利亞
Birigui,BR,102277,Birigüi|比里吉
Betim,BR,384000,貝廷
Bento Gonçalves,BR,123151,
Belo Horizonte,BR,2721564,貝洛奥里藏特|贝洛奥里藏特
Belford Roxo,BR,466096,貝爾福羅舒
Barueri,BR,316473,Tamboré|巴魯埃里
Barretos,BR,122485,巴雷图斯
Barreiras,BR,159734,
Barra Mansa,BR,164052,巴拉曼萨市
Barbacena,BR,125317,
Balneário Camboriú,BR,139155,Balneario Camboriú|Balneário|Camboriú|巴内阿里约坎博里乌
Araxá,BR,111691,Ouro Minas Araxá|阿拉沙
Araucária,BR,151666,
Araruama,BR,137773,阿拉鲁阿马
Araras,BR,135331,阿拉拉斯
Araraquara,BR,168468,阿拉拉夸拉
Arapongas,BR,119138,阿拉蓬加斯
Araguari,BR,117808,阿拉瓜里
Araçatuba,BR,170024,阿拉萨图巴
Aracaju,BR,664908,阿拉卡茹
Apucarana,BR,130134,
Anápolis,BR,319587,阿纳波利斯
Americana,BR,246655,亚美利加纳
Almirante Tamandaré,BR,119825,Tamandaré|阿尔米兰特塔曼达雷
Alagoinhas,BR,122688,阿拉戈伊尼亚斯
Palmas,BR,306296,
Rio Branco,BR,419452,Penápolis|Río Branco|里約布蘭科
Porto Velho,BR,548952,韋柳港
Manaus,BR,2219580,Manáos|马瑙斯
Manacapuru,BR,110691,
Boa Vista,BR,419652,
Ji Paraná,BR,124333,
Açailândia,BR,106550,
Águas Lindas de Goiás,BR,225693,
Aparecida de Goiânia,BR,510770,阿帕雷西達迪戈亞尼亞
Fazenda Rio Grande,BR,148873,
Lauro de Freitas,BR,203331,
Marituba,BR,111785,
Novo Gama,BR,103804,
Paço do Lumiar,BR,145643,
Parauapebas,BR,267836,
Pinhais,BR,117000,
Simões Filho,BR,114559,
Sinop,BR,216029,
Sorriso,BR,120985,
Tangará da Serra,BR,112547,
Valparaíso de Goiás,BR,198861,
Planaltina,BR,189412,高園
Luis Eduardo Magalhães,BR,107909,
Santa Maria,BR,116622,
Riacho Fundo II,BR,105210,
Samambaia,BR,218840,
Águas Claras,BR,128486,
Recanto das Emas,BR,115550,
Plano Piloto,BR,198697,
Nassau,BS,227940,Nasáu|拿騷|拿骚
Gaborone,BW,246325,Gaboróne|嘉柏隆里|嘉波隆里
Francistown,BW,103417,弗朗西斯敦
Vitebsk,BY,358395,Vítebsk|Vítsiebsk|维捷布斯克
Minsk,BY,1742124,明斯克|明斯克市
Mahilyow,BY,353110,
Hrodna,BY,361115,格罗德诺
Homyel',BY,501102,Gómel|戈梅利
Brest,BY,344470,布列斯特
Abbotsford,CA,141397,亞博斯福
Ajax,CA,119677,亞積士
Barrie,CA,147829,巴里
Brampton,CA,656480,布兰普顿
Brantford,CA,104688,布兰特福德
Burlington,CA,186948,伯灵顿
Calgary,CA,1306784,卡加利|卡尔加里
Cambridge,CA,129920,剑桥
Dartmouth,CA,101343,达特茅斯|達特茅斯
Delta,CA,101668,三角洲
Edmonton,CA,1010899,Édmonton|埃德蒙顿
Etobicoke,CA,365000,
Gatineau,CA,300045,加蒂諾|加蒂诺市
Gloucester,CA,150012,
Greater Sudbury,CA,166004,大薩德伯里
Guelph,CA,143740,貴湖
Hamilton,CA,569353,哈密尔顿
Kamloops,CA,104460,坎卢普斯
Kelowna,CA,144576,基隆拿
Kingston,CA,132485,京士頓|金斯顿
Langley,CA,132603,蘭里市
Laval,CA,438366,拉瓦勒
Lethbridge,CA,103197,萊斯布里奇
London,CA,422324,伦敦
Markham,CA,338503,萬錦市
Mississauga,CA,717961,密西沙加
Nepean,CA,180000,
Oakville,CA,213759,奥克维尔
Oshawa,CA,175383,奧沙華
Ottawa,CA,1017449,渥太華
Ottawa South,CA,125090,
Red Deer,CA,100844,紅鹿市|红鹿市
Regina,CA,226404,Régina|里賈納|里贾纳
Richmond,CA,209937,列治文
Richmond Hill,CA,202022,列治文山|烈治文山
Saanich,CA,117735,沙尼治
Saguenay,CA,148886,薩格奈
Saint-Louis-de-Terrebonne,CA,119944,
Saskatoon,CA,266141,萨斯卡通
Sherbrooke,CA,129447,舍布碌|舍布魯克
St. Catharines,CA,136803,圣凯瑟琳斯
Surrey,CA,568322,素里
Terrebonne,CA,111575,
Thunder Bay,CA,108843,桑德贝
Toronto,CA,2794356,Torontó|多伦多|多倫多
Trois-Rivières,CA,144472,三河市
Vancouver,CA,662248,Vangúve|Wankuwér|溫哥華
Vaughan,CA,323103,旺市
Victoria,CA,289625,維多利亞
Waterloo,CA,104986,滑鐵盧
Whitby,CA,138501,惠特比
Windsor,CA,229660,温莎
Winnipeg,CA,749607,Winnipég|温尼伯
Halifax,CA,471559,
St. John's,CA,110525,Baile Sheáin|聖約翰斯
Québec,CA,531902,Cathair Québec|Kwébék|Kwébék Shehiri|Kébéc Vile|Kévek táva|Lungsod ng Québec|Québec-chhī|Québec-sṳ|Québecborg|Thành phố Québec|Ville de Québec|魁北克市
Lévis,CA,143414,利维
Sydney,CA,105968,悉尼
Orléans,CA,125937,
Uvira,CD,407092,
Mwene-Ditu,CD,189177,
Mbuji-Mayi,CD,2101332,姆布吉马伊
Lisala,CD,117464,
Kisangani,CD,1181788,Kisangáni|基桑加尼
Kindu,CD,234651,金杜
Kananga,CD,1247168,卡南加
Kamina,CD,200184,
Kalemie,CD,160961,卡萊米
Kabinda,CD,219396,卡宾达|卡賓達
Isiro,CD,255409,
Ilebo,CD,117245,
Goma,CD,432587,戈马
Gandajika,CD,208051,
Bunia,CD,399282,Búnya|布尼亞
Bumba,CD,154586,奔巴
Bukavu,CD,816811,
Bukama,CD,105530,
Beni,CD,140731,
Bakwa,CD,100575,
Tshilenge,CD,116073,
Lubumbashi,CD,2221925,Élisabethville|盧本巴希
Likasi,CD,635768,利卡西
Kipushi,CD,169635,基普希
Moanda,CD,128804,
Mbanza-Ngungu,CD,142773,
Mbandaka,CD,455011,Mbándáká|姆班达卡
Matadi,CD,425662,Matádi|马塔迪
Kinshasa,CD,16000000,Kinsásá|Léopoldville|金夏沙|金沙薩|雷堡城
Kikwit,CD,509367,基奎特
Inkisi,CD,115317,
Gemena,CD,197159,
Boma,CD,297009,Bóma|博馬|博马
Bandundu Province,CD,202904,Bandundu tartomány|班顿杜省
Masina,CD,485167,
Mwene,CD,295683,
Carnot,CF,129032,
Bimbo,CF,348802,
Berbérati,CF,103713,
Bégoua,CF,264067,
Bangui,CF,812407,班基
Pointe-Noire,CG,1032000,
Dolisie,CG,121000,多利西
Brazzaville,CG,1982000,布拉柴维尔
Zürich,CH,415367,Cürih|Lungsod ng Zürich|Sürix|Sŭ-là̤-sié|Tsürix|Zúric|Zúrich|Zürigh|Zürih|苏黎世|蘇黎世
Lausanne,CH,139111,洛桑
Genève,CH,201741,日内瓦
Bern,CH,121631,伯尔尼|伯恩|办合纳
Basel,CH,177595,Bázel|巴塞尔|巴塞爾|白才尔
Yamoussoukro,CI,275686,亚穆苏克罗|雅穆蘇克雷
Sinfra,CI,245226,
San-Pédro,CI,390654,San Pédro|聖佩德羅
Man,CI,241969,
Koumassi,CI,412282,
Korhogo,CI,440926,科霍戈
Gagnoa,CI,277044,加尼奧阿
Daoukro,CI,101136,
Daloa,CI,421871,達洛亞
Dabou,CI,138083,
Bouaké,CI,832371,布瓦凯
Bondoukou,CI,141568,邦杜庫
Abobo,CI,1340083,
Abidjan,CI,6321017,Abiyán|阿必仁|阿比让
Abengourou,CI,130810,阿本古鲁
Marcory,CI,214061,
Séguéla,CI,103980,
Bonon,CI,119938,
Viña del Mar,CL,334248,比尼亚德尔马
Valparaíso,CL,282448,Ciudad de Valparaíso|Dakbayan sa Valparaíso|Wǎěr pà lái suǒ|瓦尔帕莱索|瓦爾帕萊索
Valdivia,CL,133419,Ciudad de Valdivía|瓦尔迪维亚
Temuco,CL,238129,特木科
Talcahuano,CL,150499,塔爾卡瓦諾
Talca,CL,197479,塔爾卡
Santiago,CL,4837295,圣地亚哥|聖地亞哥
Renca,CL,147151,
Rancagua,CL,212695,兰卡瓜
Quilicura,CL,210410,基利库拉
Punta Arenas,CL,117430,蓬塔阿雷纳斯
Puerto Montt,CL,245902,蒙特港
Peñalolén,CL,241599,佩尼亞洛倫
Maipú,CL,503635,
La Serena,CL,154521,拉塞雷纳
Lampa,CL,102234,
Iquique,CL,199587,伊基克
Coronel,CL,107759,科羅內爾
Copiapó,CL,129280,科皮亞波
Concepción,CL,223574,康塞普西翁|康賽普西翁
Chillán,CL,150396,
Arica,CL,241653,阿列卡|阿里卡
Antofagasta,CL,401096,安托法加斯塔
San Pedro de la Paz,CL,121631,聖佩德羅德拉帕斯
La Pintana,CL,201178,拉平塔納
Lo Prado,CL,104316,洛普拉多
Villa Mercedes,CL,131936,
Yaoundé,CM,1299369,Jaúnde|Jánde|Yaundé|耶溫得|雅温得
Nkongsamba,CM,162309,
Ngaoundéré,CM,238196,恩冈代雷
Maroua,CM,314122,马鲁阿
Limbe,CM,131381,Limbé|林贝
Kumbo,CM,125124,
Kumba,CM,225046,
Kousséri,CM,139024,
Foumban,CM,130287,豐班
Edéa,CM,103861,Édéa|埃代阿
Ébolowa,CM,101363,
Douala,CM,1338082,Dóúala|杜阿拉
Buea,CM,140533,Buéa|布埃亞
Bertoua,CM,137993,贝尔图阿
Bamenda,CM,420445,巴门达
Bafoussam,CM,373268,巴富薩姆
Shache,CN,128145,
Lhasa,CN,118721,Lhásza|Lása|拉萨|拉萨市|拉薩|拉薩市
Wujiaqu,CN,154400,五家渠|五家渠市
Ürümqi,CN,3029372,Ürümchi|Ürümchi-sṳ|Ürümcsi|Ürümqi-chhī|Ürümçi|乌鲁木齐|乌鲁木齐市|烏魯木齊|烏魯木齊市|迪化
Hami,CN,246373,哈密地区|哈密市
Zoucheng,CN,277400,邹城市|鄒城市
Zigong,CN,1262064,Cê̤ṳ-góng|自貢|自貢市|自贡|自贡市
Shangqiu,CN,1536392,商丘|商丘市
Zhoucun,CN,122402,
Zhengzhou,CN,4253913,Chhiáng-chû-sṳ|郑州|郑州市|鄭州|鄭州市
Xinghua,CN,105918,
Zhaotong,CN,787845,昭通|昭通市
Zibo,CN,3129228,Cṳ̆-báuk|Truy Bác|淄博|淄博市
Zaozhuang,CN,899753,Chó-chng-chhī|枣庄市|棗荘市|棗莊
Zaoyang,CN,184509,
Zhongxiang,CN,108883,
Yinchuan,CN,1487579,Yínchuān|銀川|銀川市|银川|银川市
